,Seed query,Entry,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Topological domain,Transmembrane,Subcellular location [CC],Intramembrane
1,,Q49AA5,Q49AA5_HUMAN,CYP4V2 protein,CYP4V2,Homo sapiens (Human),51,,,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,
0,"(gene:""AKR1B1"")",P15121,ALDR_HUMAN,Aldo-keto reductase family 1 member B1 (EC 1.1.1.300) (EC 1.1.1.372) (EC 1.1.1.54) (Aldehyde reductase) (Aldose reductase) (AR) (EC 1.1.1.21),AKR1B1 ALDR1 ALR2,Homo sapiens (Human),316,C21-steroid hormone biosynthetic process [GO:0006700]; carbohydrate metabolic process [GO:0005975]; cellular hyperosmotic salinity response [GO:0071475]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; epithelial cell maturation [GO:0002070]; fructose biosynthetic process [GO:0046370]; L-ascorbic acid biosynthetic process [GO:0019853]; metanephric collecting duct development [GO:0072205]; negative regulation of apoptotic process [GO:0043066]; regulation of urine volume [GO:0035809]; renal water homeostasis [GO:0003091]; retinoid metabolic process [GO:0001523],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; aldose reductase (NADPH) activity [GO:0004032]; all-trans-retinol dehydrogenase (NADP+) activity [GO:0052650]; allyl-alcohol dehydrogenase activity [GO:0047655]; electron transfer activity [GO:0009055]; glyceraldehyde oxidoreductase activity [GO:0043795]; glycerol dehydrogenase (NADP+) activity [GO:0047956]; L-glucuronate reductase activity [GO:0047939]; prostaglandin H2 endoperoxidase reductase activity [GO:0036130]; retinal dehydrogenase activity [GO:0001758]; C21-steroid hormone biosynthetic process [GO:0006700]; carbohydrate metabolic process [GO:0005975]; cellular hyperosmotic salinity response [GO:0071475]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; epithelial cell maturation [GO:0002070]; fructose biosynthetic process [GO:0046370]; L-ascorbic acid biosynthetic process [GO:0019853]; metanephric collecting duct development [GO:0072205]; negative regulation of apoptotic process [GO:0043066]; regulation of urine volume [GO:0035809]; renal water homeostasis [GO:0003091]; retinoid metabolic process [GO:0001523],aldose reductase (NADPH) activity [GO:0004032]; all-trans-retinol dehydrogenase (NADP+) activity [GO:0052650]; allyl-alcohol dehydrogenase activity [GO:0047655]; electron transfer activity [GO:0009055]; glyceraldehyde oxidoreductase activity [GO:0043795]; glycerol dehydrogenase (NADP+) activity [GO:0047956]; L-glucuronate reductase activity [GO:0047939]; prostaglandin H2 endoperoxidase reductase activity [GO:0036130]; retinal dehydrogenase activity [GO:0001758],,,SUBCELLULAR LOCATION: Cytoplasm.,
1,,E9PCX2,E9PCX2_HUMAN,Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (Aldose reductase),AKR1B1,Homo sapiens (Human),263,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,
2,,E9PEF9,E9PEF9_HUMAN,Aldo-keto reductase family 1 member B1 (EC 1.1.1.21) (EC 1.1.1.300) (Aldose reductase),AKR1B1,Homo sapiens (Human),102,,cytoplasm [GO:0005737],cytoplasm [GO:0005737]; oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,
0,"(gene:""CYP4X1"")",Q8N118,CP4X1_HUMAN,Cytochrome P450 4X1 (EC 1.14.14.-) (CYPIVX1),CYP4X1 UNQ1929/PRO4404,Homo sapiens (Human),509,lipid metabolic process [GO:0006629],endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; anandamide 14,15 epoxidase activity [GO:0062189]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; lipid metabolic process [GO:0006629]","anandamide 14,15 epoxidase activity [GO:0062189]; heme binding [GO:0020037]; iron ion binding [GO:0005506]",,"TRANSMEM 14..34; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q6A152}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q6A152}; Single-pass membrane protein {ECO:0000255}.,
0,"(gene:""AKR1B10"")",O60218,AK1BA_HUMAN,Aldo-keto reductase family 1 member B10 (EC 1.1.1.300) (EC 1.1.1.54) (ARL-1) (Aldose reductase-like) (Aldose reductase-related protein) (ARP) (hARP) (Small intestine reductase) (SI reductase),AKR1B10 AKR1B11,Homo sapiens (Human),316,cellular detoxification of aldehyde [GO:0110095]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; farnesol catabolic process [GO:0016488]; retinoid metabolic process [GO:0001523],cytosol [GO:0005829]; extracellular region [GO:0005576]; lysosome [GO:0005764]; mitochondrion [GO:0005739],cytosol [GO:0005829]; extracellular region [GO:0005576]; lysosome [GO:0005764]; mitochondrion [GO:0005739]; alcohol dehydrogenase (NADP+) activity [GO:0008106]; aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; all-trans-retinol dehydrogenase (NADP+) activity [GO:0052650]; allyl-alcohol dehydrogenase activity [GO:0047655]; geranylgeranyl reductase activity [GO:0045550]; indanol dehydrogenase activity [GO:0047718]; retinal dehydrogenase activity [GO:0001758]; cellular detoxification of aldehyde [GO:0110095]; daunorubicin metabolic process [GO:0044597]; doxorubicin metabolic process [GO:0044598]; farnesol catabolic process [GO:0016488]; retinoid metabolic process [GO:0001523],alcohol dehydrogenase (NADP+) activity [GO:0008106]; aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; all-trans-retinol dehydrogenase (NADP+) activity [GO:0052650]; allyl-alcohol dehydrogenase activity [GO:0047655]; geranylgeranyl reductase activity [GO:0045550]; indanol dehydrogenase activity [GO:0047718]; retinal dehydrogenase activity [GO:0001758],,,SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:21585341}. Secreted {ECO:0000269|PubMed:21585341}. Note=Secreted through a lysosome-mediated non-classical pathway.,
0,"(gene:""CYP4Z1"")",Q86W10,CP4Z1_HUMAN,Cytochrome P450 4Z1 (EC 1.14.14.1) (CYPIVZ1) (Laurate 7-monooxygenase) (EC 1.14.14.130),CYP4Z1 UNQ3060/PRO9882,Homo sapiens (Human),505,arachidonic acid metabolic process [GO:0019369]; lauric acid metabolic process [GO:0048252],endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; arachidonic acid 14,15-epoxygenase activity [GO:0008404]; aromatase activity [GO:0070330]; fatty acid in-chain hydroxylase activity [GO:0052722]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; arachidonic acid metabolic process [GO:0019369]; lauric acid metabolic process [GO:0048252]","arachidonic acid 14,15-epoxygenase activity [GO:0008404]; aromatase activity [GO:0070330]; fatty acid in-chain hydroxylase activity [GO:0052722]; heme binding [GO:0020037]; iron ion binding [GO:0005506]","TOPO_DOM 1..9; /note=""Cytoplasmic""; /evidence=""ECO:0000255""; TOPO_DOM 31..505; /note=""Lumenal""; /evidence=""ECO:0000255""","TRANSMEM 10..30; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15059886}; Single-pass type II membrane protein {ECO:0000269|PubMed:15059886}. Microsome membrane {ECO:0000269|PubMed:15059886}; Single-pass type II membrane protein {ECO:0000269|PubMed:15059886}.,
0,"(gene:""AKR1C1"")",Q04828,AK1C1_HUMAN,Aldo-keto reductase family 1 member C1 (EC 1.1.1.-) (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.357) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (EC 1.3.1.20) (20-alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (EC 1.1.1.149) (Chlordecone reductase homolog HAKRC) (Dihydrodiol dehydrogenase 1) (DD1) (High-affinity hepatic bile acid-binding protein) (HBAB),AKR1C1 DDH DDH1,Homo sapiens (Human),323,bile acid and bile salt transport [GO:0015721]; bile acid metabolic process [GO:0008206]; cellular response to jasmonic acid stimulus [GO:0071395]; cholesterol homeostasis [GO:0042632]; daunorubicin metabolic process [GO:0044597]; digestion [GO:0007586]; doxorubicin metabolic process [GO:0044598]; epithelial cell differentiation [GO:0030855]; intestinal cholesterol absorption [GO:0030299]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; progesterone metabolic process [GO:0042448]; prostaglandin metabolic process [GO:0006693]; response to organophosphorus [GO:0046683]; retinal metabolic process [GO:0042574]; retinoid metabolic process [GO:0001523]; xenobiotic metabolic process [GO:0006805],cytosol [GO:0005829]; extracellular exosome [GO:0070062],"cytosol [GO:0005829]; extracellular exosome [GO:0070062]; 17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity [GO:0047006]; 3beta-hydroxy-5beta-steroid dehydrogenase activity [GO:0033703]; 5alpha-androstane-3beta,17beta-diol dehydrogenase activity [GO:0047024]; aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; androstan-3-alpha,17-beta-diol dehydrogenase activity [GO:0047044]; androsterone dehydrogenase (B-specific) activity [GO:0047042]; androsterone dehydrogenase activity [GO:0047023]; bile acid binding [GO:0032052]; carboxylic acid binding [GO:0031406]; dihydrotestosterone 17-beta-dehydrogenase activity [GO:0035410]; estradiol 17-beta-dehydrogenase [NAD(P)+] activity [GO:0004303]; indanol dehydrogenase activity [GO:0047718]; ketosteroid monooxygenase activity [GO:0047086]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0033764]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]; testosterone dehydrogenase [NAD(P)+] activity [GO:0030283]; trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity [GO:0047115]; bile acid and bile salt transport [GO:0015721]; bile acid metabolic process [GO:0008206]; cellular response to jasmonic acid stimulus [GO:0071395]; cholesterol homeostasis [GO:0042632]; daunorubicin metabolic process [GO:0044597]; digestion [GO:0007586]; doxorubicin metabolic process [GO:0044598]; epithelial cell differentiation [GO:0030855]; intestinal cholesterol absorption [GO:0030299]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; progesterone metabolic process [GO:0042448]; prostaglandin metabolic process [GO:0006693]; response to organophosphorus [GO:0046683]; retinal metabolic process [GO:0042574]; retinoid metabolic process [GO:0001523]; xenobiotic metabolic process [GO:0006805]","17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity [GO:0047006]; 3beta-hydroxy-5beta-steroid dehydrogenase activity [GO:0033703]; 5alpha-androstane-3beta,17beta-diol dehydrogenase activity [GO:0047024]; aldo-keto reductase (NADPH) activity [GO:0004033]; aldose reductase (NADPH) activity [GO:0004032]; androstan-3-alpha,17-beta-diol dehydrogenase activity [GO:0047044]; androsterone dehydrogenase (B-specific) activity [GO:0047042]; androsterone dehydrogenase activity [GO:0047023]; bile acid binding [GO:0032052]; carboxylic acid binding [GO:0031406]; dihydrotestosterone 17-beta-dehydrogenase activity [GO:0035410]; estradiol 17-beta-dehydrogenase [NAD(P)+] activity [GO:0004303]; indanol dehydrogenase activity [GO:0047718]; ketosteroid monooxygenase activity [GO:0047086]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0033764]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]; testosterone dehydrogenase [NAD(P)+] activity [GO:0030283]; trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity [GO:0047115]",,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:8486699}.",
1,,H0Y804,H0Y804_HUMAN,Aldo-keto reductase family 1 member C1,AKR1C1,Homo sapiens (Human),248,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
2,,A6NHU4,A6NHU4_HUMAN,Aldo-keto reductase family 1 member C1,AKR1C1,Homo sapiens (Human),205,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
0,"(gene:""CYP51A1"")",Q16850,CP51A_HUMAN,Lanosterol 14-alpha demethylase (LDM) (EC 1.14.14.154) (CYPLI) (Cytochrome P450 51A1) (CYP51A1) (Cytochrome P450-14DM) (Cytochrome P45014DM) (Cytochrome P450LI) (Sterol 14-alpha demethylase),CYP51A1 CYP51,Homo sapiens (Human),509,cholesterol biosynthetic process [GO:0006695]; negative regulation of amyloid-beta clearance [GO:1900222]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein secretion [GO:0050709]; steroid biosynthetic process [GO:0006694]; sterol metabolic process [GO:0016125],endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020],endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; sterol 14-demethylase activity [GO:0008398]; cholesterol biosynthetic process [GO:0006695]; negative regulation of amyloid-beta clearance [GO:1900222]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein secretion [GO:0050709]; steroid biosynthetic process [GO:0006694]; sterol metabolic process [GO:0016125],heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]; sterol 14-demethylase activity [GO:0008398],,"TRANSMEM 30..50; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q64654}; Single-pass membrane protein {ECO:0000255}. Microsome membrane {ECO:0000250|UniProtKB:Q64654}; Single-pass membrane protein {ECO:0000255}.,
1,,A0A8I5KRT9,A0A8I5KRT9_HUMAN,Cytochrome P450 family 51 subfamily A member 1,CYP51A1,Homo sapiens (Human),458,organic hydroxy compound biosynthetic process [GO:1901617]; small molecule biosynthetic process [GO:0044283]; steroid biosynthetic process [GO:0006694],intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020],"intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; organic hydroxy compound biosynthetic process [GO:1901617]; small molecule biosynthetic process [GO:0044283]; steroid biosynthetic process [GO:0006694]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,"TRANSMEM 31..50; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
2,,H7C0D0,H7C0D0_HUMAN,Cytochrome P450 family 51 subfamily A member 1,CYP51A1,Homo sapiens (Human),222,lipid metabolic process [GO:0006629],endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; lipid metabolic process [GO:0006629]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,,,
3,,Q05D40,Q05D40_HUMAN,CYP51A1 protein,CYP51A1,Homo sapiens (Human),180,organic hydroxy compound biosynthetic process [GO:1901617]; small molecule biosynthetic process [GO:0044283]; steroid biosynthetic process [GO:0006694],intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020],"intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; organic hydroxy compound biosynthetic process [GO:1901617]; small molecule biosynthetic process [GO:0044283]; steroid biosynthetic process [GO:0006694]","heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",,"TRANSMEM 25..44; /note=""Helical""; /evidence=""ECO:0000256|SAM:Phobius""",,
